feature,count,mean_activation,best_rank
38141,121,0.06059261041978174,3
14522,120,0.11387241935978333,1
23845,120,0.0782288941865166,2
13021,120,0.06882997822637359,3
46598,120,0.060963202143708865,6
35584,120,0.05826998362317681,8
36475,120,0.054171001600722475,3
47783,118,0.08258914189823603,2
1527,116,0.07460163819507279,2
22297,116,0.06280834850823057,1
27794,115,0.06639331624559734,3
37724,114,0.06780532966449596,5
17920,114,0.061915593385173565,4
15734,113,0.09656832749600959,1
31751,113,0.08869351631244726,1
19696,113,0.07632077406201743,2
17330,113,0.06888240753813127,2
19092,112,0.15464745491876133,1
38526,112,0.09272676320480448,3
16727,112,0.08704461825878493,1
32030,112,0.06901437303583537,2
22910,112,0.064638786417033,4
48453,111,0.09799548604332649,1
47857,111,0.06288872310170182,4
45710,110,0.09270049086348577,1
7197,110,0.08246167159893296,1
11106,110,0.05720348805189133,1
36154,109,0.0749836900365462,1
37953,109,0.06357666966291743,6
7590,109,0.06009612116244955,3
14175,109,0.059029809378702704,2
38397,109,0.0505203264295508,8
40377,108,0.12682393672703593,1
17256,108,0.08092467386827425,1
25173,108,0.07833754112599073,1
48251,108,0.060991641478957956,2
26183,107,0.08047327308732773,1
24475,106,0.12760416351539908,2
36712,106,0.10099413484897253,1
19741,106,0.0646662664652433,5
28874,105,0.11498976917493911,1
43392,105,0.06906191664082663,1
34825,105,0.06577408349230177,2
16165,104,0.059120060302890264,4
8147,103,0.1369520553469079,1
40242,103,0.0766969695687294,2
8936,103,0.061258878884384936,2
22543,100,0.13319134309887887,1
36406,100,0.12075022183358669,1
6199,100,0.07395997017621994,3
30750,100,0.062433349080383775,3
27199,99,0.06989852617485355,4
7601,99,0.06532693887599791,4
40784,99,0.06244793406339607,7
32669,98,0.13508619105785477,1
7439,98,0.0694571448375984,1
315,98,0.06935590186289378,3
13365,98,0.06511427541928631,1
2155,97,0.08529069985157435,1
1474,97,0.06090380366622787,2
30002,96,0.07036413818908234,3
8764,96,0.06739585167573144,1
35789,96,0.06514606155299892,1
1405,96,0.06417738025387128,3
44921,96,0.05845185563278695,4
19385,96,0.05381431244313717,4
39612,95,0.08348796783309234,3
5186,95,0.06752779499480599,2
19268,95,0.06242677549782552,3
363,95,0.053966711932107024,9
44404,94,0.08814951202812348,2
48710,93,0.08000679550472126,1
27515,93,0.06655192543422023,2
25565,92,0.1549729729557167,1
3995,92,0.08663213633648727,1
29584,92,0.05825682672793451,3
13844,92,0.05017626317946807,12
43040,91,0.10421290989596765,1
39717,91,0.0757699986244296,6
8583,91,0.06757575777042044,3
23058,91,0.06369303768643966,3
19781,91,0.05886329071862357,5
39800,90,0.08268856704235077,1
5719,90,0.06908461567428377,3
43867,90,0.06380176933275329,5
21255,90,0.05762459428773986,8
6772,89,0.08182338131277749,1
13374,89,0.06894747996598147,4
12773,89,0.0686466848749793,1
82,89,0.05941429315658098,3
140,89,0.05521896808000093,9
23051,88,0.13220414019782434,1
29005,88,0.055990844118324196,5
24276,88,0.05442179231481119,4
29350,86,0.08116414423945338,2
11286,86,0.08034190899410913,2
25556,86,0.06975883002891096,1
8728,86,0.06096896251966787,7
35068,86,0.05481145279698594,3
13933,85,0.10264264218070927,2
27707,85,0.07059231654686086,1
13982,85,0.06664326567860211,2
27139,84,0.08506123553074542,1
36481,84,0.08274185950202602,3
26055,84,0.06872874684631824,1
36568,84,0.05957687885633537,7
27166,83,0.06677155771169317,3
42100,83,0.06063906009118241,2
23520,82,0.07084213751481801,3
33206,82,0.06097538714728704,3
30704,81,0.09769933937508384,3
40079,81,0.08520998902342937,1
42606,81,0.05781030664105474,4
18105,80,0.10196166047826409,2
19912,80,0.07230744091793895,1
10824,80,0.05886059189215302,6
27236,80,0.057773875445127486,6
3160,79,0.12614524119262455,1
14071,79,0.0937468941453137,1
